
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2025-11-21


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 5.0
Magnitude Max:, 7.0
Rrup Min (km):, 10.0
Rrup Max (km):, 30.0
Rjb Min (km):, 10.0
Rjb Max (km):, 20.0
Vs30 Min (m/sec):, 360.0
Vs30 Max (m/sec):, 760.0
D9-95 Min (sec):, 10.0
D9-95 Max (sec):, 70.0
Scale Factor Min:, 0.1
Scale Factor Max:, 5.0
Period Array:, 0.8,1,1.2
Weight Array:, 1,1,1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 11
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, Reverse/Oblique


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 755, 0.0075, 1.3757, -, 6.0, 15.7, 1.5, "Loma Prieta", 1989, "Coyote Lake Dam - Southwest Abutment", 6.93, Reverse Oblique, 19.97, 20.34, 561.43, 0.1625, 1.3787, RSN755_LOMAP_CYC195.AT2, RSN755_LOMAP_CYC285.AT2 , RSN755_LOMAP_CYC-UP.AT2  
2, SRSS, 1006, 0.0025, 1.9658, -, 5.8, 11.3, 1.6, "Northridge-01", 1994, "LA - UCLA Grounds", 6.69, Reverse, 13.8, 22.49, 398.42, 0.16, 1.9701, RSN1006_NORTHR_UCL090.AT2, RSN1006_NORTHR_UCL360.AT2 , RSN1006_NORTHR_UCL-UP.AT2  
3, SRSS, 2627, 0.0078, 0.9484, -, 3.7, 12.5, 1.0, "Chi-Chi_ Taiwan-03", 1999, "TCU076", 6.2, Reverse, 13.04, 14.66, 614.98, 0.07, 0.9505, RSN2627_CHICHI.03_TCU076N.AT2, RSN2627_CHICHI.03_TCU076E.AT2 , RSN2627_CHICHI.03_TCU076V.AT2  
4, SRSS, 2658, 0.0015, 1.6413, -, 4.2, 13.5, 1.4, "Chi-Chi_ Taiwan-03", 1999, "TCU129", 6.2, Reverse, 10.95, 12.83, 511.18, 0.08, 1.6449, RSN2658_CHICHI.03_TCU129N.AT2, RSN2658_CHICHI.03_TCU129E.AT2 , RSN2658_CHICHI.03_TCU129V.AT2  
5, SRSS, 4843, 0.0043, 2.6678, -, 7.2, 19.9, 0.7, "Chuetsu-oki_ Japan", 2007, "Matsushiro Tokamachi", 6.8, Reverse, 18.16, 25.03, 640.14, 0.05, 2.6736, RSN4843_CHUETSU_65006NS.AT2, RSN4843_CHUETSU_65006EW.AT2 , RSN4843_CHUETSU_65006UD.AT2  
6, SRSS, 4848, 0.0035, 2.5171, -, 6.1, 16.6, 0.7, "Chuetsu-oki_ Japan", 2007, "Joetsu Ogataku", 6.8, Reverse, 16.77, 17.93, 414.23, 0.0875, 2.5226, RSN4848_CHUETSU_65011NS.AT2, RSN4848_CHUETSU_65011EW.AT2 , RSN4848_CHUETSU_65011UD.AT2  
7, SRSS, 4882, 0.0077, 2.2193, -, 7.4, 22.7, 1.8, "Chuetsu-oki_ Japan", 2007, "Ojiya City", 6.8, Reverse, 15.89, 23.44, 430.16, 0.1, 2.2242, RSN4882_CHUETSU_65321NS.AT2, RSN4882_CHUETSU_65321EW.AT2 , RSN4882_CHUETSU_65321UD.AT2  
8, SRSS, 5265, 0.0039, 1.9683, -, 8.1, 22.8, 2.7, "Chuetsu-oki_ Japan", 2007, "NIG019", 6.8, Reverse, 15.78, 23.36, 372.33, 0.1125, 1.9726, RSN5265_CHUETSU_NIG019NS.AT2, RSN5265_CHUETSU_NIG019EW.AT2 , RSN5265_CHUETSU_NIG019UD.AT2  
9, SRSS, 5478, 0.0075, 1.6149, -, 6.7, 10.1, 2.3, "Iwate_ Japan", 2008, "AKT023", 6.9, Reverse, 11.68, 16.96, 555.96, 0.125, 1.6185, RSN5478_IWATE_AKT023NS.AT2, RSN5478_IWATE_AKT023EW.AT2 , RSN5478_IWATE_AKT023UD.AT2  
10, SRSS, 5664, 0.0056, 1.1367, -, 17.0, 42.5, 4.2, "Iwate_ Japan", 2008, "MYG005", 6.9, Reverse, 10.71, 13.47, 361.24, 0.0875, 1.1392, RSN5664_IWATE_MYG005NS.AT2, RSN5664_IWATE_MYG005EW.AT2 , RSN5664_IWATE_MYG005UD.AT2  
11, SRSS, 8833, 0.0039, 3.4464, -, 2.2, 11.0, 0.1, "14383980", 2008, "Puddingstone Reservoir", 5.39, Reverse Oblique, 14.6, 20.39, 462.66, 0.325, 3.4539, RSN8833_14383980_CIPSRHNN.AT2, RSN8833_14383980_CIPSRHNE.AT2 , RSN8833_14383980_CIPSRHNZ.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-755 SRSS pSa (g),RSN-1006 SRSS pSa (g),RSN-2627 SRSS pSa (g),RSN-2658 SRSS pSa (g),RSN-4843 SRSS pSa (g),RSN-4848 SRSS pSa (g),RSN-4882 SRSS pSa (g),RSN-5265 SRSS pSa (g),RSN-5478 SRSS pSa (g),RSN-5664 SRSS pSa (g),RSN-8833 SRSS pSa (g)
2.2,0.29154698,0.34136853,0.71002074,0.16412545,0.23795927,0.42646951,0.11647751,0.1894087,0.24313868,0.5720912,0.32168669,0.27911008,0.25905112,1.01895069,0.09071036
2.4,0.2672514,0.31365413,0.69979925,0.14058162,0.19785867,0.37623239,0.09388049,0.18539578,0.21399532,0.39263227,0.36534222,0.29325782,0.22194394,1.04003671,0.06961979
2.5,0.25656134,0.29230257,0.67407549,0.12675256,0.17127183,0.32441588,0.0933435,0.17990186,0.20068236,0.32482822,0.36788251,0.27558292,0.2025999,1.00890184,0.06591743
2.6,0.24593454,0.26926477,0.62497051,0.1160111,0.14727393,0.26784396,0.09072427,0.17413881,0.18637619,0.32742454,0.33786134,0.25237388,0.1804328,0.93530006,0.0621627
2.8,0.21205581,0.23353371,0.52472592,0.10393615,0.11145271,0.18583406,0.08389067,0.16224419,0.16325293,0.32221,0.29115408,0.2420424,0.17568248,0.77798271,0.05312455
3.0,0.18472417,0.21485127,0.50032935,0.09226136,0.09951301,0.13865414,0.07604019,0.15916862,0.14175943,0.35455403,0.26180163,0.21136512,0.14723885,0.72626127,0.04700767
3.2,0.16235523,0.20757776,0.55451679,0.07770464,0.08557905,0.11261076,0.06621739,0.14757854,0.14099311,0.36273156,0.23224571,0.18723506,0.11231633,0.79411224,0.0417356
3.4,0.14381639,0.17881549,0.44386035,0.07203838,0.07112788,0.10920692,0.05634405,0.13121186,0.16718045,0.34119387,0.17716134,0.15203786,0.09532136,0.62908202,0.03710278
3.5,0.13571572,0.1622576,0.38562604,0.06827217,0.06973873,0.1066144,0.05169219,0.12292394,0.16855106,0.31203565,0.15007116,0.13514777,0.08799924,0.54505945,0.03499997
3.6,0.12828067,0.15031722,0.35235199,0.06412698,0.0686348,0.10114214,0.04753277,0.11691437,0.16574439,0.28442886,0.13687234,0.12152969,0.07878275,0.49887804,0.03302932
3.8,0.11513279,0.13178083,0.30558213,0.05682985,0.06682298,0.0873997,0.04168056,0.10710716,0.14546018,0.24746259,0.12178355,0.09790945,0.07070523,0.43378419,0.02947349
4.0,0.10390734,0.11624725,0.25445023,0.05310832,0.06804489,0.07826412,0.0397887,0.10055366,0.13431821,0.20663464,0.10942612,0.08481896,0.06666876,0.36383317,0.02636854
4.2,0.09424702,0.10376348,0.20934808,0.05143042,0.0670313,0.07026022,0.03963159,0.09617915,0.12524838,0.17527515,0.09964853,0.08265406,0.06396491,0.29784113,0.02366381
4.4,0.08587384,0.09643701,0.1880089,0.04946626,0.06221823,0.06369799,0.03929572,0.09273937,0.11044326,0.15320127,0.10226824,0.08765253,0.05965063,0.26832762,0.0213123
4.6,0.07856888,0.08938066,0.16670573,0.04792218,0.06101915,0.05666314,0.0391574,0.08956709,0.09129805,0.13725866,0.10588821,0.09307855,0.05537686,0.23461227,0.01926783
4.8,0.07215788,0.0844057,0.15331615,0.04646818,0.0631233,0.0493689,0.03888124,0.08630953,0.07455946,0.12863502,0.11125616,0.09579379,0.05297629,0.21007226,0.01748674
5.0,0.0665007,0.07999758,0.14021894,0.04564014,0.06399071,0.04221065,0.03805143,0.08360622,0.06187435,0.12676518,0.12035911,0.10020965,0.05098227,0.1759934,0.01593038
5.5,0,0.07373141,0.13014275,0.04177199,0.05967473,0.03355789,0.03550186,0.07619519,0.0529612,0.12957731,0.13867692,0.11328776,0.04118444,0.11760831,0.01281994
6.0,0,0.06793151,0.1256073,0.03673903,0.04870296,0.02748645,0.03212948,0.06493792,0.05861752,0.13462846,0.13291818,0.11424652,0.03322365,0.08982121,0.01053429
6.5,0,0.05932771,0.11337273,0.03104607,0.03955377,0.0220152,0.02827755,0.05429423,0.06501942,0.12672048,0.11807481,0.10109788,0.02571294,0.06302202,0.00881653
7.0,0,0.05003089,0.096169,0.02602803,0.03363978,0.01765077,0.02389334,0.04596073,0.06419651,0.11488943,0.09218938,0.07947748,0.02037593,0.05057026,0.0074962
7.5,0,0.04231212,0.08103454,0.02209324,0.03007259,0.01455816,0.0193514,0.03873628,0.05697698,0.09610591,0.07674509,0.06782988,0.01734878,0.04124915,0.00645911
8.0,0,0.03472063,0.06539372,0.01843483,0.02508847,0.01250002,0.01578279,0.03188608,0.04851619,0.07912057,0.05939117,0.05370979,0.01511694,0.03518642,0.00562845
8.5,0,0.02944412,0.05525426,0.01569031,0.02158044,0.01087687,0.01339121,0.02702308,0.03917174,0.06997804,0.04716103,0.04241345,0.01313286,0.03420486,0.00495179
9.0,0,0.02535103,0.04713068,0.01363601,0.01905809,0.00957488,0.01146358,0.02292922,0.03526089,0.06047661,0.03711544,0.03467232,0.01167248,0.03224524,0.00439253
9.5,0,0.02189533,0.04004796,0.01197078,0.01654649,0.00851206,0.00987158,0.01941939,0.03107663,0.05083733,0.0308005,0.02951157,0.01079195,0.02955658,0.00392453
10.0,0,0.01903332,0.03395768,0.0106682,0.01421602,0.00762991,0.00849613,0.01708272,0.02747675,0.0418496,0.02693127,0.02536519,0.01027331,0.02651698,0.00352862
11.0,0,0.01440732,0.02422773,0.00856749,0.01162353,0.00625248,0.00658253,0.0136254,0.02099195,0.02760221,0.02071478,0.01897655,0.00868537,0.02052644,0.00289931
12.0,0,0.01146744,0.01880723,0.00699211,0.00983776,0.0052284,0.00520071,0.01115272,0.01602742,0.02016624,0.01698268,0.01604278,0.00687385,0.01620345,0.00242588
13.0,0,0.00951567,0.01551462,0.0058363,0.00834563,0.00443966,0.00438483,0.00935079,0.01405411,0.01542357,0.01453759,0.01377522,0.00528911,0.01301152,0.00206036
14.0,0,0.00796777,0.01299254,0.00488629,0.0071164,0.00381638,0.00369834,0.00789162,0.0118306,0.01304179,0.01221021,0.01157891,0.00418979,0.01049939,0.00177206
15.0,0,0.00670976,0.01089348,0.00413283,0.00610779,0.00331423,0.00313215,0.00670283,0.00968413,0.01108701,0.01016589,0.00960954,0.00339714,0.00906614,0.00154056
20.0,0,0.00324345,0.00516121,0.00203827,0.00315597,0.00183296,0.00152851,0.00327906,0.00479323,0.00554011,0.00423962,0.00396857,0.00163232,0.004846,0.00086156

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-755 Horizontal-1 pSa (g),RSN-755 Horizontal-2 pSa (g),RSN-755 Vertical pSa (g),RSN-1006 Horizontal-1 pSa (g),RSN-1006 Horizontal-2 pSa (g),RSN-1006 Vertical pSa (g),RSN-2627 Horizontal-1 pSa (g),RSN-2627 Horizontal-2 pSa (g),RSN-2627 Vertical pSa (g),RSN-2658 Horizontal-1 pSa (g),RSN-2658 Horizontal-2 pSa (g),RSN-2658 Vertical pSa (g),RSN-4843 Horizontal-1 pSa (g),RSN-4843 Horizontal-2 pSa (g),RSN-4843 Vertical pSa (g),RSN-4848 Horizontal-1 pSa (g),RSN-4848 Horizontal-2 pSa (g),RSN-4848 Vertical pSa (g),RSN-4882 Horizontal-1 pSa (g),RSN-4882 Horizontal-2 pSa (g),RSN-4882 Vertical pSa (g),RSN-5265 Horizontal-1 pSa (g),RSN-5265 Horizontal-2 pSa (g),RSN-5265 Vertical pSa (g),RSN-5478 Horizontal-1 pSa (g),RSN-5478 Horizontal-2 pSa (g),RSN-5478 Vertical pSa (g),RSN-5664 Horizontal-1 pSa (g),RSN-5664 Horizontal-2 pSa (g),RSN-5664 Vertical pSa (g),RSN-8833 Horizontal-1 pSa (g),RSN-8833 Horizontal-2 pSa (g),RSN-8833 Vertical pSa (g)
0.01,0.152019,0.4853814,0.0894,0.2848204,0.4854485,0.268,0.1617659,0.5225174,0.254,0.4002759,0.9483368,0.186,0.1873294,0.1963464,0.0677,0.3279654,0.1914902,0.122,0.271442,0.4033521,0.16,0.3987241,0.4661132,0.123,0.3821685,0.3739897,0.255,0.4582514,0.54444,0.668,0.1452753,0.06659094,0.0371
0.02,0.1529798,0.4918439,0.198,0.2848107,0.4847415,0.27,0.1742563,0.5354266,0.264,0.4059379,0.969052,0.188,0.1854127,0.1945205,0.0669,0.3238456,0.1940704,0.123,0.2674392,0.3964729,0.157,0.396869,0.4640649,0.124,0.3885205,0.3706772,0.254,0.4624367,0.5471684,0.676,0.1453178,0.06653134,0.037
0.022,0.1533005,0.4929808,0.249,0.3016953,0.5411556,0.281,0.1765674,0.5378373,0.272,0.4092431,0.9756939,0.188,0.185464,0.1950052,0.067,0.3263717,0.1948314,0.124,0.2680951,0.3979436,0.158,0.3985094,0.4643316,0.126,0.3911171,0.3721104,0.258,0.4668162,0.5505914,0.698,0.1456123,0.0668132,0.0378
0.025,0.1541879,0.4955191,0.282,0.3368057,0.5862623,0.296,0.1762414,0.5502423,0.263,0.4173554,0.9820727,0.187,0.1860734,0.1955515,0.0675,0.3322145,0.1954669,0.124,0.2899665,0.4029579,0.16,0.4017944,0.4644415,0.13,0.3965589,0.3739077,0.266,0.4755265,0.5566487,0.738,0.1455458,0.0667733,0.0396
0.029,0.1541386,0.4896907,0.299,0.3169092,0.527886,0.295,0.1686163,0.5265475,0.258,0.4250885,0.9652575,0.193,0.1862193,0.1985589,0.0695,0.340737,0.1970445,0.126,0.3002452,0.4040028,0.166,0.4049722,0.4654503,0.143,0.4058191,0.3765543,0.283,0.4933744,0.5831686,0.817,0.1461929,0.0700509,0.0409
0.03,0.1565743,0.4873729,0.295,0.3164881,0.5083205,0.296,0.1728445,0.5298904,0.262,0.4283862,0.9610962,0.194,0.1867327,0.1989758,0.0718,0.3407821,0.2013273,0.125,0.3067198,0.4028698,0.168,0.408309,0.4683654,0.146,0.4100712,0.3775123,0.286,0.4995975,0.6181529,0.877,0.1465086,0.07097853,0.0405
0.032,0.1589549,0.496779,0.279,0.3505492,0.5046737,0.284,0.1724059,0.5481318,0.268,0.4268622,0.9440114,0.192,0.187485,0.1998684,0.0721,0.3460577,0.2038762,0.127,0.3128875,0.397992,0.17,0.4102001,0.4748997,0.151,0.4179805,0.3847937,0.293,0.5207316,0.6677507,0.829,0.1450302,0.07029226,0.039
0.035,0.1674495,0.5127131,0.245,0.3545861,0.5632619,0.281,0.2011439,0.5815158,0.262,0.4375299,0.9559456,0.194,0.1872827,0.2029744,0.0729,0.3480391,0.1987629,0.14,0.3116531,0.3914995,0.187,0.4159252,0.4796741,0.163,0.4255659,0.387682,0.359,0.5433446,0.6845744,0.933,0.1482341,0.07051754,0.0451
0.036,0.1714782,0.5169339,0.235,0.3478326,0.5670806,0.284,0.2066046,0.5843914,0.269,0.4419965,0.9697891,0.197,0.1868332,0.2037134,0.072,0.3529756,0.20032,0.149,0.3093973,0.3968543,0.191,0.4113481,0.4820192,0.176,0.4145609,0.385113,0.365,0.527693,0.6469027,0.92,0.1494099,0.07173484,0.0445
0.04,0.1752917,0.5281749,0.19,0.3389398,0.5411845,0.29,0.2145929,0.6000074,0.287,0.4555652,1.006096,0.199,0.1869183,0.200847,0.0755,0.3365022,0.2001119,0.137,0.300667,0.4212047,0.23,0.4172681,0.4860837,0.255,0.452831,0.4064467,0.397,0.5525373,0.6407208,0.912,0.1460948,0.07186245,0.0405
0.042,0.2038874,0.5350387,0.171,0.3500041,0.5888603,0.296,0.2192431,0.5832684,0.294,0.4450315,1.031212,0.2,0.189864,0.2017806,0.0793,0.3195246,0.2078314,0.147,0.2986889,0.4256199,0.228,0.4092138,0.4767048,0.299,0.4812271,0.4557061,0.426,0.5972571,0.704479,1.06,0.1507308,0.07105844,0.044
0.044,0.207364,0.5490452,0.151,0.369257,0.5928367,0.295,0.2289492,0.5698748,0.308,0.4402381,1.045784,0.205,0.1888776,0.2026101,0.0815,0.3350115,0.213282,0.166,0.2938411,0.428672,0.232,0.4089877,0.4760301,0.318,0.4994929,0.5094014,0.463,0.6384004,0.7122356,1.15,0.1528429,0.07366996,0.0483
0.045,0.2011616,0.555799,0.148,0.3795616,0.5893041,0.292,0.2202508,0.5727893,0.314,0.4439155,1.053559,0.205,0.1887956,0.2026435,0.0822,0.3404544,0.2137181,0.171,0.2944318,0.4280692,0.249,0.4145758,0.4798917,0.326,0.5017048,0.4759176,0.458,0.6243445,0.7242033,1.26,0.1528336,0.07545261,0.0486
0.046,0.198224,0.5580839,0.15,0.3847954,0.5917198,0.29,0.2216917,0.5794673,0.322,0.4551198,1.066711,0.203,0.1889619,0.2044932,0.0841,0.34214,0.2109242,0.177,0.2933168,0.4278792,0.266,0.4157905,0.4846487,0.329,0.5384117,0.4660098,0.47,0.6305045,0.7576885,1.38,0.1553535,0.07787908,0.0476
0.048,0.2163327,0.5734499,0.15,0.3943374,0.5570155,0.289,0.2266744,0.5849279,0.339,0.4678736,1.094293,0.197,0.1900208,0.2106768,0.084,0.3487473,0.2015265,0.178,0.3017067,0.4252623,0.29,0.408134,0.4817294,0.304,0.5864091,0.4374009,0.456,0.7526121,0.821632,1.61,0.1599264,0.07799093,0.0482
0.05,0.2405727,0.570233,0.152,0.3981819,0.517158,0.296,0.2151066,0.5817031,0.36,0.4752459,1.102862,0.189,0.19075,0.212142,0.0806,0.3638272,0.2104616,0.168,0.3161555,0.4210484,0.324,0.3942193,0.4725069,0.32,0.6235461,0.5000936,0.513,0.8740886,0.8294514,1.92,0.1628698,0.07775547,0.0564
0.055,0.2545239,0.5764313,0.152,0.3617906,0.5695544,0.297,0.2474832,0.5697281,0.511,0.4558953,1.153392,0.188,0.1946882,0.2275726,0.0973,0.3867671,0.2464205,0.164,0.3368715,0.430976,0.419,0.3897037,0.4754595,0.288,0.6993092,0.7128712,0.557,0.7855163,0.6481503,1.84,0.1479516,0.0837715,0.0738
0.06,0.2524011,0.5327033,0.171,0.3606326,0.6545333,0.379,0.3193051,0.6124911,0.588,0.4464065,1.152896,0.186,0.2059022,0.1960574,0.108,0.421734,0.2615516,0.207,0.3367672,0.4663315,0.346,0.3989933,0.4790432,0.374,0.7501958,0.6243517,0.655,0.7185245,0.8954892,2.85,0.1575641,0.08556087,0.0734
0.065,0.2582045,0.5220057,0.187,0.3757554,0.7236605,0.349,0.2591614,0.6591025,0.539,0.4584067,1.239759,0.199,0.2154299,0.212784,0.114,0.3987653,0.2839265,0.257,0.3409713,0.5083935,0.386,0.3911983,0.5074117,0.477,0.793806,0.7237794,0.904,0.8671293,1.100541,2.69,0.1516703,0.08440853,0.0724
0.067,0.2671454,0.5298838,0.205,0.3876724,0.7864646,0.337,0.2235739,0.6631675,0.537,0.4745786,1.253647,0.196,0.2012752,0.2189512,0.11,0.3851669,0.2971376,0.266,0.3466128,0.5323344,0.386,0.4073216,0.5145859,0.532,0.7309066,0.7613813,0.94,0.8783193,1.231265,2.56,0.1478517,0.08981919,0.0702
0.07,0.2777551,0.5101274,0.209,0.4297336,0.8126531,0.361,0.2088844,0.6546987,0.557,0.5376086,1.270644,0.201,0.2109814,0.2176492,0.117,0.3864231,0.3264054,0.272,0.3612365,0.5490602,0.404,0.4421443,0.5090923,0.517,0.7845017,0.8721785,0.946,1.026347,1.423394,2.66,0.1436704,0.09877297,0.068
0.075,0.279935,0.5176138,0.216,0.533753,0.862476,0.419,0.2431954,0.6029962,0.621,0.5793017,1.35666,0.212,0.2373045,0.2382775,0.127,0.4432698,0.4311074,0.275,0.3565163,0.5517513,0.413,0.4795602,0.5138742,0.518,1.018131,0.7455888,0.996,1.179665,1.937205,2.03,0.150719,0.1032574,0.0701
0.08,0.2658593,0.5162737,0.234,0.5363674,0.7906752,0.474,0.2485144,0.5475374,0.716,0.5317605,1.372875,0.218,0.2410825,0.2603683,0.129,0.4731239,0.4443966,0.264,0.4146913,0.4961285,0.385,0.4757532,0.5256984,0.5,1.056224,0.7826118,0.956,1.289428,2.273019,1.85,0.1636145,0.09989032,0.0837
0.085,0.2694946,0.5252922,0.221,0.5884568,0.9294028,0.445,0.227807,0.5329571,0.6,0.5575843,1.276438,0.213,0.2545964,0.2718808,0.123,0.4770602,0.4246156,0.368,0.4734955,0.5617768,0.365,0.4218253,0.5268171,0.434,0.9905697,0.7581792,0.834,1.505779,2.421001,1.97,0.1559014,0.09606373,0.0809
0.09,0.2578236,0.559092,0.209,0.5825187,1.11554,0.459,0.2574257,0.53159,0.44,0.5236472,1.234238,0.231,0.2488036,0.2869739,0.151,0.6039881,0.4117317,0.429,0.5113043,0.5520384,0.399,0.4242597,0.5653452,0.37,1.389163,0.8490313,0.896,1.274575,2.355344,1.41,0.1450239,0.1134731,0.0914
0.095,0.3220032,0.52838,0.255,0.6249307,1.221186,0.503,0.2457871,0.5445074,0.382,0.4606418,1.304976,0.232,0.2464068,0.2872013,0.149,0.6756022,0.3687538,0.518,0.5399153,0.5615926,0.428,0.4569666,0.542682,0.39,1.559172,1.030079,0.916,1.232901,2.084949,1.13,0.1637205,0.127971,0.0989
0.1,0.3409327,0.5368663,0.294,0.6616539,1.233649,0.514,0.2144662,0.5650897,0.358,0.4983374,1.316364,0.218,0.2762284,0.3255467,0.147,0.6688372,0.3660568,0.556,0.579187,0.653197,0.393,0.5270959,0.5252212,0.364,1.615624,1.099831,0.84,1.229115,1.776047,1.02,0.1853831,0.1232553,0.0937
0.11,0.3188875,0.5622419,0.23,0.6575233,1.09045,0.464,0.215574,0.559781,0.311,0.6181227,1.228441,0.224,0.3035525,0.3935035,0.167,0.5326397,0.4718418,0.39,0.664607,0.8471934,0.445,0.6300677,0.5533907,0.321,1.154238,0.7641864,0.878,1.109986,2.093125,0.905,0.2283398,0.1164197,0.0767
0.12,0.372077,0.706149,0.175,0.5876248,1.071402,0.536,0.2169518,0.6385662,0.355,0.7817096,1.478417,0.247,0.3019334,0.3584884,0.196,0.5578976,0.4861848,0.288,0.7611095,0.9875183,0.419,0.6149965,0.5249564,0.319,0.9787751,0.9156916,0.657,1.420875,1.962707,0.609,0.2500558,0.1236043,0.0994
0.13,0.3695495,0.7373637,0.193,0.5537485,0.8464947,0.57,0.2381328,0.6767062,0.428,0.8377398,1.702188,0.277,0.3016724,0.3505698,0.217,0.5238169,0.5379598,0.304,0.8294301,1.125133,0.345,0.5341977,0.5429364,0.274,1.149967,1.08534,0.607,1.201115,1.519382,0.595,0.2535569,0.1481013,0.116
0.133,0.3541569,0.72088,0.199,0.5460244,0.8178086,0.598,0.2457586,0.6830264,0.439,0.7897791,1.68929,0.287,0.3187474,0.3271809,0.223,0.5031313,0.5389673,0.324,0.8395476,1.166312,0.364,0.5153089,0.5439577,0.278,1.232446,1.098151,0.573,1.167361,1.386976,0.552,0.2544204,0.1480152,0.117
0.14,0.3572769,0.6829304,0.227,0.5640799,0.9688758,0.637,0.2636487,0.6872738,0.447,0.8631428,1.607642,0.288,0.3615827,0.307456,0.233,0.6332434,0.5570508,0.305,0.8551716,1.359099,0.416,0.5426328,0.5689671,0.275,1.148095,0.9309443,0.533,1.034405,1.086718,0.449,0.2605773,0.1438576,0.113
0.15,0.3740871,0.7787752,0.252,0.5538027,1.031549,0.525,0.258426,0.6526315,0.425,0.8692157,1.67299,0.292,0.4304688,0.3189201,0.224,0.626622,0.6527148,0.351,1.110534,1.369941,0.469,0.6096522,0.5234481,0.278,1.106087,0.8379039,0.664,0.8304418,0.85414,0.37,0.2664207,0.1513724,0.112
0.16,0.4659111,0.6281229,0.249,0.4588258,0.9397747,0.437,0.2737242,0.6458464,0.383,1.154189,1.764875,0.314,0.5168698,0.416009,0.232,0.7506909,0.6640504,0.37,1.043702,1.215925,0.421,0.6676438,0.5506914,0.285,1.100681,0.9316658,0.583,0.7427938,0.8361197,0.322,0.2690603,0.1643275,0.109
0.17,0.5223565,0.5590448,0.214,0.6071404,0.9874655,0.48,0.2780025,0.6756855,0.349,1.363449,1.863057,0.352,0.5143773,0.4492545,0.246,0.9410591,0.7466351,0.334,1.089422,1.345059,0.359,0.6796005,0.6154065,0.313,1.226849,1.00765,0.47,0.7067673,0.6564938,0.332,0.2649429,0.1712033,0.0982
0.18,0.5114418,0.5632893,0.223,0.773891,0.8694416,0.641,0.2988946,0.7527243,0.296,1.401448,1.983142,0.365,0.5348913,0.506169,0.248,1.289918,0.7352737,0.298,1.03617,1.338113,0.385,0.6406958,0.6767483,0.278,0.9969624,0.8451838,0.464,0.6311349,0.6590284,0.324,0.2716713,0.1719641,0.0963
0.19,0.3868735,0.6016438,0.213,0.7414279,0.7869592,0.764,0.3891994,0.8131266,0.287,1.606284,2.000371,0.382,0.5573959,0.4858675,0.24,1.375978,0.6437566,0.262,0.947054,1.468608,0.374,0.5976862,0.7690257,0.245,0.9051068,0.8692455,0.496,0.611428,0.6481329,0.313,0.2783851,0.1642405,0.1
0.2,0.3663783,0.7661644,0.19,0.6592206,0.8762408,0.816,0.4574161,0.8199766,0.281,1.579507,1.843302,0.369,0.4980063,0.3895707,0.219,1.246011,0.5644352,0.209,0.8053544,1.462715,0.411,0.7103801,0.7902455,0.252,0.8217039,0.8562747,0.476,0.624015,0.4892306,0.377,0.291448,0.1547057,0.107
0.22,0.3703094,0.7060457,0.218,0.855934,1.183394,0.864,0.5231189,0.8777301,0.234,1.002889,1.400144,0.3,0.5354489,0.3951675,0.19,1.059866,0.4652147,0.158,0.9694856,0.9554612,0.29,0.7362666,0.7212818,0.25,1.001135,0.8271871,0.315,0.7463626,0.5546564,0.368,0.3061991,0.1201319,0.12
0.24,0.3928765,0.6834623,0.29,0.8116862,1.637658,0.784,0.5568007,0.7796608,0.22,0.7654339,1.021992,0.296,0.4841373,0.4247128,0.149,0.7587876,0.4329002,0.12,0.8574669,1.168625,0.252,0.688276,1.000471,0.246,0.8040358,0.6138408,0.464,0.7137462,0.4970815,0.3,0.3065349,0.1135384,0.115
0.25,0.4116234,0.629795,0.289,0.6220723,1.308273,0.64,0.5201522,0.6973476,0.218,0.7536538,0.831295,0.279,0.5433429,0.4377315,0.185,0.7313588,0.3922938,0.117,0.811407,1.028992,0.258,0.7317405,1.000247,0.224,0.748991,0.5978733,0.492,0.68173,0.5311508,0.289,0.2990328,0.1051855,0.111
