
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2025-11-21


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 5.0
Magnitude Max:, 7.0
Rrup Min (km):, 10.0
Rrup Max (km):, 30.0
Rjb Min (km):, 10.0
Rjb Max (km):, 20.0
Vs30 Min (m/sec):, 360.0
Vs30 Max (m/sec):, 760.0
D9-95 Min (sec):, 10.0
D9-95 Max (sec):, 70.0
Scale Factor Min:, 0.1
Scale Factor Max:, 5.0
Period Array:, 0.8,1,1.2
Weight Array:, 1,1,1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 11
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, Reverse/Oblique


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 755, 0.0075, 1.3757, -, 6.0, 15.7, 1.5, "Loma Prieta", 1989, "Coyote Lake Dam - Southwest Abutment", 6.93, Reverse Oblique, 19.97, 20.34, 561.43, 0.1625, 1.3787, RSN755_LOMAP_CYC195.AT2, RSN755_LOMAP_CYC285.AT2 , RSN755_LOMAP_CYC-UP.AT2  
2, SRSS, 1006, 0.0025, 1.9658, -, 5.8, 11.3, 1.6, "Northridge-01", 1994, "LA - UCLA Grounds", 6.69, Reverse, 13.8, 22.49, 398.42, 0.16, 1.9701, RSN1006_NORTHR_UCL090.AT2, RSN1006_NORTHR_UCL360.AT2 , RSN1006_NORTHR_UCL-UP.AT2  
3, SRSS, 2627, 0.0078, 0.9484, -, 3.7, 12.5, 1.0, "Chi-Chi_ Taiwan-03", 1999, "TCU076", 6.2, Reverse, 13.04, 14.66, 614.98, 0.07, 0.9505, RSN2627_CHICHI.03_TCU076N.AT2, RSN2627_CHICHI.03_TCU076E.AT2 , RSN2627_CHICHI.03_TCU076V.AT2  
4, SRSS, 2658, 0.0015, 1.6413, -, 4.2, 13.5, 1.4, "Chi-Chi_ Taiwan-03", 1999, "TCU129", 6.2, Reverse, 10.95, 12.83, 511.18, 0.08, 1.6449, RSN2658_CHICHI.03_TCU129N.AT2, RSN2658_CHICHI.03_TCU129E.AT2 , RSN2658_CHICHI.03_TCU129V.AT2  
5, SRSS, 4843, 0.0043, 2.6678, -, 7.2, 19.9, 0.7, "Chuetsu-oki_ Japan", 2007, "Matsushiro Tokamachi", 6.8, Reverse, 18.16, 25.03, 640.14, 0.05, 2.6736, RSN4843_CHUETSU_65006NS.AT2, RSN4843_CHUETSU_65006EW.AT2 , RSN4843_CHUETSU_65006UD.AT2  
6, SRSS, 4848, 0.0035, 2.5171, -, 6.1, 16.6, 0.7, "Chuetsu-oki_ Japan", 2007, "Joetsu Ogataku", 6.8, Reverse, 16.77, 17.93, 414.23, 0.0875, 2.5226, RSN4848_CHUETSU_65011NS.AT2, RSN4848_CHUETSU_65011EW.AT2 , RSN4848_CHUETSU_65011UD.AT2  
7, SRSS, 4882, 0.0077, 2.2193, -, 7.4, 22.7, 1.8, "Chuetsu-oki_ Japan", 2007, "Ojiya City", 6.8, Reverse, 15.89, 23.44, 430.16, 0.1, 2.2242, RSN4882_CHUETSU_65321NS.AT2, RSN4882_CHUETSU_65321EW.AT2 , RSN4882_CHUETSU_65321UD.AT2  
8, SRSS, 5265, 0.0039, 1.9683, -, 8.1, 22.8, 2.7, "Chuetsu-oki_ Japan", 2007, "NIG019", 6.8, Reverse, 15.78, 23.36, 372.33, 0.1125, 1.9726, RSN5265_CHUETSU_NIG019NS.AT2, RSN5265_CHUETSU_NIG019EW.AT2 , RSN5265_CHUETSU_NIG019UD.AT2  
9, SRSS, 5478, 0.0075, 1.6149, -, 6.7, 10.1, 2.3, "Iwate_ Japan", 2008, "AKT023", 6.9, Reverse, 11.68, 16.96, 555.96, 0.125, 1.6185, RSN5478_IWATE_AKT023NS.AT2, RSN5478_IWATE_AKT023EW.AT2 , RSN5478_IWATE_AKT023UD.AT2  
10, SRSS, 5664, 0.0056, 1.1367, -, 17.0, 42.5, 4.2, "Iwate_ Japan", 2008, "MYG005", 6.9, Reverse, 10.71, 13.47, 361.24, 0.0875, 1.1392, RSN5664_IWATE_MYG005NS.AT2, RSN5664_IWATE_MYG005EW.AT2 , RSN5664_IWATE_MYG005UD.AT2  
11, SRSS, 8833, 0.0039, 3.4464, -, 2.2, 11.0, 0.1, "14383980", 2008, "Puddingstone Reservoir", 5.39, Reverse Oblique, 14.6, 20.39, 462.66, 0.325, 3.4539, RSN8833_14383980_CIPSRHNN.AT2, RSN8833_14383980_CIPSRHNE.AT2 , RSN8833_14383980_CIPSRHNZ.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-755 SRSS pSa (g),RSN-1006 SRSS pSa (g),RSN-2627 SRSS pSa (g),RSN-2658 SRSS pSa (g),RSN-4843 SRSS pSa (g),RSN-4848 SRSS pSa (g),RSN-4882 SRSS pSa (g),RSN-5265 SRSS pSa (g),RSN-5478 SRSS pSa (g),RSN-5664 SRSS pSa (g),RSN-8833 SRSS pSa (g)
0.15,1.34232,1.918513,3.09511002,1.18919589,1.18857855,2.30160932,0.66573021,3.09440811,1.42922919,2.2775075,3.91387609,1.58157976,2.24092983,1.35414742,1.05604697
0.16,1.34232,1.9543154,3.10940516,1.22832132,1.07589677,2.05586528,0.66527785,3.46117022,1.77004626,2.52275184,3.55635194,1.70344509,2.32881321,1.27129559,1.0865553
0.17,1.34232,2.09570963,3.46829814,1.26632679,1.05257841,2.27875905,0.69295622,3.78926594,1.82194971,3.02371765,3.84147348,1.80457355,2.56389376,1.09649088,1.08714728
0.18,1.34232,2.14881308,3.63755087,1.26936991,1.04670036,2.28817577,0.76812361,3.98570104,1.96461244,3.73728507,3.75600759,1.83427437,2.11073362,1.03723469,1.10809528
0.19,1.34232,2.17458123,3.7557798,1.2590737,0.98405126,2.12547996,0.85497576,4.21074877,1.97264129,3.82377971,3.87828619,1.91704725,2.02660332,1.01282489,1.11395518
0.2,1.34232,2.09826596,3.51105781,1.25395828,1.16834999,2.15558445,0.89050293,3.98424622,1.68678186,3.44311598,3.70579826,2.09149149,1.91654395,0.90132593,1.13718446
0.22,1.34232,1.98091514,2.954144,1.32831196,1.09681864,2.87108445,0.96909245,2.82677974,1.77535585,2.91346618,3.02092855,2.02868904,2.0972473,1.05700932,1.13359504
0.24,1.34232,1.90499672,2.99304295,1.2124826,1.08453553,3.59309372,0.90865487,2.09572278,1.71812354,2.19891152,3.21685427,2.3901843,1.6336206,0.98868314,1.12657963
0.25,1.34232,1.77001528,2.64708585,1.18354836,1.03507061,2.84777655,0.82510122,1.84167596,1.86139957,2.08900709,2.90828106,2.43933484,1.54767799,0.9823594,1.09248384
0.26,1.34232,1.67962799,2.44097889,1.15574542,0.96582085,2.28722019,0.79863073,1.76070037,1.83183669,2.02475786,2.87181286,2.22651195,1.62152663,1.04790084,1.03918888
0.28,1.34232,1.6227419,2.32158012,1.1342668,1.12880798,1.9672122,0.83100991,1.58892143,1.97121339,2.10083558,1.99372983,2.73968431,1.68340983,0.87052168,0.97481471
0.29,1.34232,1.62636965,2.42522465,1.09065287,1.17554942,1.69457803,0.8368307,1.45462894,2.21025648,2.04412268,1.81602391,3.06926575,1.82456542,0.83620586,0.92803893
0.3,1.34232,1.59532303,2.46767861,1.03135617,1.19056069,1.47213083,0.81779218,1.33172908,2.28252155,2.0151194,1.80226973,3.23904754,1.67241485,0.84583649,0.87913095
0.32,1.34232,1.56099731,2.56953674,0.94830814,1.23313075,1.52130078,0.80740886,1.27748428,1.83074122,1.82157052,1.76019815,3.74009908,1.43957013,0.89758544,0.84188121
0.34,1.34232,1.60205649,2.70928493,0.94732931,1.26955611,1.5103409,0.88175253,1.41762655,1.70729473,1.73686736,1.96279079,4.00656737,1.44479826,0.8734496,0.81157724
0.35,1.34232,1.6493181,2.93104758,0.92808122,1.2278707,1.53900051,0.9441084,1.44718899,1.79156138,1.69999677,1.95513994,4.4212656,1.44269382,0.87005874,0.8036143
0.36,1.34232,1.6820473,2.97664376,0.95049437,1.28723367,1.54805539,1.01207498,1.49936908,1.85182312,1.70385982,1.8538397,4.51184712,1.53840734,0.89752867,0.79848145
0.38,1.34232,1.64644831,2.83725555,0.95542753,1.34556461,1.47787795,1.10585895,1.74396194,1.8917175,1.51033526,1.59916641,4.28732482,1.48709094,0.84465391,0.81737916
0.4,1.34232,1.61511447,2.89900123,0.89982533,1.2157683,1.30177376,1.16754294,1.92656379,1.82881098,1.4698242,1.41159777,4.40471492,1.44620636,0.74393957,0.84951653
0.42,1.34232,1.53474508,2.80013062,0.84119021,1.09400181,1.13141159,1.20175811,2.05036014,1.59901514,1.45200995,1.18597286,4.23951969,1.36754962,0.68119856,0.87939839
0.44,1.34232,1.5170904,2.6884967,0.85607815,1.07667892,1.10470142,1.19978655,2.11175076,1.7289642,1.38690545,1.17614507,4.00102478,1.32159373,0.6727749,0.90766858
0.45,1.34232,1.52090684,2.64557521,0.8743496,1.15959035,1.09070153,1.1927105,2.10559018,1.80736087,1.35189157,1.14897969,3.90634824,1.36800911,0.67981243,0.91898082
0.46,1.34232,1.5156799,2.55980232,0.89744646,1.2264727,1.07350992,1.19003459,2.09605317,1.88887516,1.31525808,1.1364353,3.73609447,1.33030272,0.74869498,0.93074776
0.48,1.336257,1.48123153,2.26905547,0.96694279,1.27466987,1.14366512,1.18137488,2.08115192,1.98545132,1.25129681,1.15573958,3.10311569,1.35117914,0.82327618,0.94262628
0.5,1.28280672,1.43265146,2.0179954,1.0170936,1.37352561,1.26437706,1.14640139,1.99453911,2.06338259,1.1886676,1.1412481,2.47869994,1.30498043,0.8595914,0.94375282
0.55,1.16618793,1.31877897,1.78758028,0.972923,1.49419058,1.339752,1.09383666,1.54032008,1.80888495,0.94499172,1.16522329,2.23935007,0.99342662,0.95225018,0.93434249
0.6,1.0690056,1.25360421,1.79863628,0.87373058,1.6728172,1.06138015,1.06643984,1.19005983,2.22450793,0.82335097,1.00650157,1.95769194,0.93370258,0.94017879,0.9130155
0.65,0.9867744,1.2220232,1.71131825,0.87262595,1.72086548,1.24948847,1.04955299,1.01962165,2.1999257,0.78966013,0.94715137,1.54457616,1.12605405,0.90562568,0.88973354
0.667,0.96162423,1.19725326,1.63478011,0.87682458,1.62313129,1.32902917,1.0560908,0.93488522,2.03875958,0.74609277,1.01743521,1.48310147,1.20423639,0.85554805,0.88147595
0.7,0.91629051,1.06858628,1.35033579,0.84562421,1.29882688,1.27226176,1.05266496,0.78268687,1.5140652,0.71269813,1.09943928,1.24740579,1.16265641,0.74904055,0.86270325
0.75,0.85520448,0.88805042,0.99723096,0.79082337,0.92566888,0.98279277,0.96319564,0.76788054,0.99607562,0.85187785,0.9611565,0.96446891,0.87482033,0.64500321,0.83561433
0.8,0.8017542,0.80988565,0.86226312,0.7606898,0.88171579,0.82215509,0.88935535,0.79145469,0.82037719,0.76730649,0.81804484,0.83855146,0.7874017,0.6964979,0.79588166
0.85,0.75459219,0.74947874,0.80879854,0.69450964,0.79873707,0.80332074,0.8407247,0.73459798,0.7338348,0.7246281,0.61359627,0.77635668,0.73845432,0.71147114,0.76854434
0.9,0.7126704,0.72468084,0.7503375,0.69990147,0.70314902,0.74587762,0.75649636,0.69441656,0.70263224,0.6960587,0.74828645,0.75411944,0.71214186,0.70440636,0.7539046
0.95,0.67516143,0.69341302,0.72847675,0.66003701,0.72051524,0.64185078,0.66619764,0.68973625,0.72164016,0.62775957,0.73180523,0.69944528,0.68094007,0.73090224,0.71675073
1.0,0.64140336,0.65432037,0.69991677,0.61169436,0.66780229,0.63064257,0.60556925,0.68406685,0.68610465,0.63634559,0.63616359,0.55999891,0.71851766,0.70431705,0.66799562
1.1,0.58309396,0.57246866,0.61332456,0.53433434,0.52021221,0.58859758,0.53863131,0.59717683,0.50746058,0.63110488,0.58760934,0.56072148,0.6327497,0.58443401,0.54845739
1.2,0.5345028,0.50933757,0.55479858,0.4676017,0.46236451,0.48830347,0.46627431,0.50379696,0.53924066,0.5873786,0.5577701,0.53151642,0.44706551,0.54572343,0.47327926
1.3,0.4933872,0.50444096,0.62415774,0.4076865,0.39085219,0.49841893,0.4028438,0.3886897,0.50331389,0.69063789,0.60989936,0.61467316,0.42695724,0.62581281,0.39675164
1.4,0.45814526,0.48863917,0.63419783,0.37648858,0.41968667,0.53119165,0.34627448,0.31006534,0.48466474,0.66395535,0.56034486,0.57845544,0.45696342,0.70381538,0.31961357
1.5,0.42760224,0.45516569,0.66250598,0.31271538,0.39786247,0.55046367,0.29438252,0.27681544,0.4052833,0.69781585,0.41332584,0.4613744,0.42279549,0.83603014,0.25067352
1.6,0.4008771,0.40673612,0.61141092,0.27057788,0.34094991,0.49658,0.25470875,0.25618533,0.36189321,0.71545135,0.36616119,0.39252365,0.34967422,0.72857893,0.21139078
1.7,0.37729609,0.35646767,0.52680506,0.24120725,0.3142031,0.38258182,0.22455631,0.23228412,0.32984786,0.62730563,0.3268792,0.37107972,0.30694591,0.62189453,0.18356614
1.8,0.3563352,0.32645215,0.52571058,0.20271801,0.29087292,0.31063577,0.19893425,0.20364262,0.28794949,0.64000111,0.27834322,0.32607579,0.25630016,0.63961306,0.15860523
1.9,0.33758072,0.3170071,0.55225502,0.18196938,0.2724925,0.31019978,0.17519223,0.17469071,0.27339718,0.62569018,0.27437842,0.2666904,0.25989105,0.71801646,0.13643924
2.0,0.32070168,0.31459459,0.56141973,0.17628478,0.27821158,0.32712325,0.15321785,0.16631351,0.25990054,0.57029401,0.30891727,0.24498561,0.26835014,0.76412704,0.11909964
