Tie	Sae
3.190000	0.123145
3.200000	0.122376
3.210000	0.121615
3.220000	0.120861
3.230000	0.120114
3.240000	0.119373
3.250000	0.118640
3.260000	0.117913
3.270000	0.117193
3.280000	0.116480
3.290000	0.115773
3.300000	0.115072
3.310000	0.114378
3.320000	0.113690
3.330000	0.113008
3.340000	0.112332
3.350000	0.111663
3.360000	0.110999
3.370000	0.110341
3.380000	0.109689
3.390000	0.109043
3.400000	0.108403
3.410000	0.107768
3.420000	0.107138
3.430000	0.106515
3.440000	0.105896
3.450000	0.105283
3.460000	0.104676
3.470000	0.104073
3.480000	0.103476
3.490000	0.102884
3.500000	0.102297
3.510000	0.101715
3.520000	0.101138
3.530000	0.100565
3.540000	0.099998
3.550000	0.099435
3.560000	0.098878
3.570000	0.098324
3.580000	0.097776
3.590000	0.097232
3.600000	0.096692
3.610000	0.096158
3.620000	0.095627
3.630000	0.095101
3.640000	0.094579
3.650000	0.094061
3.660000	0.093548
3.670000	0.093039
3.680000	0.092534
3.690000	0.092033
3.700000	0.091536
3.710000	0.091044
3.720000	0.090555
3.730000	0.090070
3.740000	0.089589
3.750000	0.089112
3.760000	0.088638
3.770000	0.088169
3.780000	0.087703
3.790000	0.087241
3.800000	0.086782
3.810000	0.086327
3.820000	0.085876
3.830000	0.085428
3.840000	0.084984
3.850000	0.084543
3.860000	0.084105
3.870000	0.083671
3.880000	0.083240
3.890000	0.082813
3.900000	0.082389
3.910000	0.081968
3.920000	0.081550
3.930000	0.081136
3.940000	0.080724
3.950000	0.080316
3.960000	0.079911
3.970000	0.079509
3.980000	0.079110
3.990000	0.078714
